@RELATION test

@ATTRIBUTE livingroom_tempterature real
@ATTRIBUTE livingroom_humidity real
@ATTRIBUTE livingroom_luminance real
@ATTRIBUTE study_tempterature real
@ATTRIBUTE study_humidity real
@ATTRIBUTE study_luminance real
@ATTRIBUTE bedroom_tempterature real
@ATTRIBUTE bedroom_humidity real
@ATTRIBUTE bedroom_luminance real
@ATTRIBUTE kitchen_tempterature real
@ATTRIBUTE kitchen_humidity real
@ATTRIBUTE kitchen_luminance real
@ATTRIBUTE hallway_tempterature real
@ATTRIBUTE hallway_humidity real
@ATTRIBUTE hallway_luminance real
@ATTRIBUTE light_livingroom integer
@ATTRIBUTE audio_livingroom integer
@ATTRIBUTE current_watercoldfan_livingroom real
@ATTRIBUTE current_TV_livingroom real
@ATTRIBUTE current_lamp_livingroom real
@ATTRIBUTE current_xbox_livingroom real
@ATTRIBUTE current_AC_livingroom real
@ATTRIBUTE people_livingroom integer
@ATTRIBUTE light_study integer
@ATTRIBUTE current_lamp_study real
@ATTRIBUTE current_NB_study real
@ATTRIBUTE people_study integer
@ATTRIBUTE light_bedroom integer
@ATTRIBUTE current_lamp_bedroom real
@ATTRIBUTE current_PC_bedroom real
@ATTRIBUTE current_AC_bedroom real
@ATTRIBUTE current_nightlamp_bedroom real
@ATTRIBUTE people_bedroom integer
@ATTRIBUTE light_kitchen integer
@ATTRIBUTE current_microwave_kitchen real
@ATTRIBUTE people_kitchen integer
@ATTRIBUTE light_hallway integer
@ATTRIBUTE switch_door_hallway integer
@ATTRIBUTE people_hallway integer
@ATTRIBUTE class {PlayingKinect,Reading,WatchingTV}

@DATA
21.1,64.1,174.3,22.0,56.7,29.4,21.6,60.3,72.0,24.0,51.7,17.2,23.9,56.9,30.0,1,0,0.1,1.0,0.0,0.0,0.1,1,0,0.0,0.1,0,0,0.0,0.1,0.1,0.0,0,0,0.1,0,0,0,0,WatchingTV
21.1,64.1,174.3,22.0,56.7,39.9,21.6,60.2,76.5,24.0,51.7,17.2,23.9,56.7,28.0,1,0,0.1,1.0,0.0,0.0,0.1,1,0,0.0,0.1,0,0,0.0,0.1,0.1,0.0,0,0,0.1,0,0,0,0,WatchingTV
21.1,64.0,174.3,22.0,56.7,27.3,21.6,60.2,67.5,24.0,51.7,21.5,23.9,56.6,46.0,1,0,0.1,1.0,0.0,0.0,0.1,1,0,0.0,0.1,0,0,0.0,0.1,0.1,0.0,0,0,0.1,0,0,0,0,WatchingTV
21.1,64.0,170.1,22.0,56.6,29.4,21.6,60.2,72.0,24.0,51.7,17.2,23.9,56.6,30.0,1,0,0.1,1.0,0.0,0.0,0.1,1,0,0.0,0.1,0,0,0.0,0.1,0.1,0.0,0,0,0.1,0,0,0,0,WatchingTV
21.1,64.0,170.1,22.0,56.6,27.3,21.6,60.1,76.5,24.0,51.7,23.6,23.9,56.7,30.0,1,0,0.1,1.0,0.0,0.0,0.1,1,0,0.0,0.1,0,0,0.0,0.1,0.1,0.0,0,0,0.1,0,0,0,0,WatchingTV
21.1,63.9,170.1,22.0,56.6,27.3,21.6,60.1,76.5,24.0,51.7,19.4,23.9,56.8,30.0,1,0,0.1,1.0,0.0,0.0,0.1,1,0,0.0,0.1,0,0,0.0,0.1,0.1,0.0,0,0,0.1,0,0,0,0,WatchingTV
21.1,63.9,170.1,22.0,56.6,33.6,21.6,60.0,67.5,24.0,51.6,19.4,23.9,56.7,32.0,1,0,0.1,1.0,0.0,0.0,0.1,1,0,0.0,0.1,0,0,0.0,0.1,0.1,0.0,0,0,0.1,0,0,0,0,WatchingTV
21.1,63.9,168.0,22.1,56.5,35.7,21.6,60.0,72.0,24.0,51.6,17.2,23.9,56.7,28.0,1,0,0.1,1.0,0.0,0.0,0.1,1,0,0.0,0.1,0,0,0.0,0.1,0.1,0.0,0,0,0.1,0,0,0,0,WatchingTV
21.1,63.8,170.1,22.1,56.5,33.6,21.6,60.0,81.0,24.0,51.6,17.2,23.9,56.7,30.0,1,0,0.1,1.0,0.0,0.0,0.1,1,0,0.0,0.1,0,0,0.0,0.1,0.1,0.0,0,0,0.1,0,0,0,0,WatchingTV
21.1,63.8,170.1,22.1,56.5,35.7,21.6,60.0,76.5,24.0,51.6,21.5,23.9,56.6,30.0,1,0,0.1,1.0,0.0,0.0,0.1,1,0,0.0,0.1,0,0,0.0,0.1,0.1,0.0,0,0,0.1,0,0,0,0,WatchingTV
